Ano base,UF,Classe Substância,Substância Mineral,Quantidade Produção,Unidade de Medida - Produção,Quantidade Contido,Unidade de Medida - Contido,Indicação Contido,Quantidade Venda,Unidade de Medida - Venda,Valor Venda (R$),Quantidade Consumo/Utilização na Usina,Unidade de Medida - Consumo/Utilização na Usina,Valor Consumo / Utilização na Usina (R$),Quantidade Transferência para Transformação / Utilização / Consumo,Unidade de Medida - Transferência para Transformação / Utilização / Consumo,Valor Transferência para Transformação / Utilização / Consumo (R$)
2010,AL,Não-Metálicos,Calcário,1006305.29,t,0.0,-,,161857.52,t,10316106.11,0,t,0.0,815338.0,t,6136774.05
2010,AL,Não-Metálicos,Rochas (Britadas) e Cascalho,855122.76,t,0.0,-,,681758.76,t,24950312.87,53650,t,877370.0,119714.0,t,0.0
2010,AM,Metálicos,Columbita-Tantalita,6319.0,t,1922.3,t,Nb2O5,0.0,t,0.0,0,t,0.0,6227.52,t,33407046.27
2010,AM,Metálicos,Estanho,4284188.5,kg,2784170.0,kg,Sn,0.0,kg,0.0,0,kg,0.0,3178353.0,kg,49798593.51
2010,AM,Não-Metálicos,Rochas (Britadas) e Cascalho,347611.49,t,0.0,-,,268349.49,t,17162304.83,5986,t,433319.0,7728.0,t,139560.0
2010,AP,Metálicos,Cromo,91878.0,t,91878.0,t,Cr2O3,38421.91,t,9448716.11,0,t,0.0,0.0,t,0.0
2010,AP,Metálicos,Ferro,4243086.0,t,2569507.38,t,Fe,4193349.87,t,684932386.33,0,t,0.0,0.0,t,0.0
2010,AP,Metálicos,Ouro,6.76,kg,6.76,kg,Au,6.76,kg,421164.61,0,kg,0.0,0.0,kg,0.0
2010,AP,Não-Metálicos,Caulim,881427.0,t,0.0,-,,0.0,t,118024927.04,881427,t,0.0,0.0,t,0.0
2010,AP,Não-Metálicos,Rochas (Britadas) e Cascalho,116559.0,t,0.0,-,,113376.0,t,4496287.34,0,t,0.0,0.0,t,0.0
2010,BA,Gemas e Diamantes,Diamante,1103.2,ct,1103.2,ct,,0.0,ct,0.0,0,ct,0.0,0.0,ct,0.0
2010,BA,Metálicos,Cobre,82405.31,t,27803.34,t,Cu,86152.65,t,433394129.88,0,t,0.0,0.0,t,0.0
2010,BA,Metálicos,Cromo,428250.9,t,166430.42,t,Cr2O3,98050.99,t,56251392.22,0,t,0.0,383132.13,t,86599915.47
2010,BA,Metálicos,Manganês,1697.8,t,764.01,t,Mn,1697.8,t,867237.84,0,t,0.0,0.0,t,0.0
2010,BA,Metálicos,Níquel,75978.0,t,10375.0,t, Ni,73218.0,t,370387333.72,0,t,0.0,0.0,t,0.0
2010,BA,Metálicos,Ouro,5979.48,kg,5979.47,kg,Au,6025.41,kg,419163287.39,0,kg,0.0,0.0,kg,0.0
2010,BA,Metálicos,Prata,75.01,kg,75.01,kg,Ag,75.01,kg,110888.57,0,kg,0.0,0.0,kg,0.0
2010,BA,Não-Metálicos,Argilas,277214.75,t,0.0,-,,281515.75,t,32893347.93,0,t,0.0,8265.32,t,1448657.23
2010,BA,Não-Metálicos,Bário,17995.35,t,17445.02,t,BaSO4,309.9,t,351606.88,0,t,0.0,16972.91,t,7297130.15
2010,BA,Não-Metálicos,Calcário,1585357.3,t,0.0,-,,377499.0,t,14393262.57,"25480,549999999999",t,832797.47,1063896.06,t,15825855.88
2010,BA,Não-Metálicos,Caulim,9605.0,t,0.0,-,,8139.0,t,5317802.0,0,t,0.0,0.0,t,0.0
2010,BA,Não-Metálicos,Diatomita,4082.2,t,0.0,-,,3979.31,t,8305401.45,0,t,0.0,0.0,t,0.0
2010,BA,Não-Metálicos,Dolomito e Magnesita,1362417.0,t,0.0,-,,169262.0,t,113713177.52,182155,t,5586193.93,947864.0,t,129777935.34
2010,BA,Não-Metálicos,Fosfato,287663.04,t,94516.12,t,P2O5,229478.72,t,31052424.71,0,t,0.0,71878.84,t,8617600.0
2010,BA,Não-Metálicos,Gipsita,0.0,t,0.0,-,,0.0,t,0.0,0,t,0.0,0.0,t,0.0
2010,BA,Não-Metálicos,Grafita,17001.1,t,15530.41,t,,17001.1,t,22859581.26,0,t,0.0,0.0,t,0.0
2010,BA,Não-Metálicos,Rochas (Britadas) e Cascalho,5958212.26,t,0.0,-,,5529208.76,t,172736405.28,"556599,84000000008",t,1263146.96,0.0,t,0.0
2010,BA,Não-Metálicos,Talco e outras Cargas Minerais,79833.31,t,0.0,-,,73687.64,t,74164644.96,0,t,0.0,1317.13,t,232588.78
2010,BA,Não-Metálicos,Vermiculita e Perlita,859.35,t,730.44,t,,859.35,t,51561.2,0,t,0.0,0.0,t,0.0
2010,CE,Não-Metálicos,Areias Industriais,194258.52,t,0.0,-,,0.0,t,0.0,0,t,0.0,159225.56,t,2706918.56
2010,CE,Não-Metálicos,Argilas,19977.89,t,0.0,-,,0.0,t,0.0,0,t,0.0,19977.89,t,384991.4
2010,CE,Não-Metálicos,Calcário,2032609.87,t,0.0,-,,58166.19,t,4467903.49,"11009,4",t,154000.0,1963434.28,t,20597992.35
2010,CE,Não-Metálicos,Rochas (Britadas) e Cascalho,3558542.5,t,0.0,-,,3252287.5,t,91004356.82,2175,t,36105.0,304080.0,t,1390065.35
2010,DF,Não-Metálicos,Areia,0.0,t,0.0,-,,0.0,t,0.0,0,t,0.0,0.0,t,0.0
