Ano base,UF,Classe Substância,Substância Mineral,Quantidade Produção - Minério ROM (t),Quantidade Contido,Unidade de Medida - Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2010,AC,Não-Metálicos,Areia,155024.5,0.0,-,,127314.03,2400373.53,0.0,0.0,0.0,0.0
2010,AL,Não-Metálicos,Argilas,273110.2,0.0,-,,0.0,0.0,86078.94,281936.58,183651.0,1438553.95
2010,AL,Não-Metálicos,Calcário,1006305.33,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,AL,Não-Metálicos,Saibro,10859.12,0.0,-,,10653.12,148295.27,0.04,0.04,0.04,0.04
2010,AL,Não-Metálicos,Rochas (Britadas) e Cascalho,808072.6,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,AL,Não-Metálicos,Areia,108938.81,0.0,-,,87835.17,1258464.05,15569.0,103555.7,0.0,0.0
2010,AL,Não-Metálicos,Rochas Ornamentais,78.0,0.0,-,,72.0,2376.0,0.0,0.0,0.0,0.0
2010,AL,Não-Metálicos,Sal,748163.99,0.0,-,,2013.76,44811.36,0.0,0.0,746150.23,3946792.22
2010,AM,Metálicos,Zircônio,0.0,0.0,t,ZrSiO4,0.0,0.0,0.0,0.0,0.0,0.0
2010,AM,Não-Metálicos,Gipsita,35115.98,0.0,-,,0.0,0.0,0.0,0.0,35115.98,157670.75
2010,AM,Não-Metálicos,Rochas (Britadas) e Cascalho,358313.5,0.0,-,,10702.01,693544.31,0.0,0.0,0.0,0.0
2010,AM,Não-Metálicos,Calcário,603600.0,0.0,-,,0.0,0.0,0.0,0.0,603600.0,2601516.0
2010,AM,Metálicos,Estanho,7687486.0,2784170.0,kg,Sn,0.0,0.0,0.0,0.0,0.0,0.0
2010,AM,Não-Metálicos,Argilas,320738.75,0.0,-,,8695.0,76840.0,0.0,0.0,312043.75,1618954.08
2010,AM,Metálicos,Ferro,35868.95,25108.26,t,Fe,0.0,0.0,0.0,0.0,35868.95,176475.23
2010,AM,Metálicos,Columbita-Tantalita,7687486.0,1922.3,t,Nb2O5,0.0,0.0,0.0,0.0,0.0,0.0
2010,AM,Não-Metálicos,Areia,210432.54,0.0,-,,144549.4,947265.4,1105.0,9655.0,64000.0,415560.0
2010,AP,Metálicos,Cromo,273926.0,36075.0,t,Cr2O3,0.0,0.0,0.0,0.0,0.0,0.0
2010,AP,Não-Metálicos,Argilas,44645.6,0.0,-,,820.0,24600.0,825.6,6604.8,31000.0,2654000.0
2010,AP,Não-Metálicos,Saibro,91690.9,0.0,-,,82260.9,324112.9,0.0,0.0,0.0,0.0
2010,AP,Não-Metálicos,Areia,126080.0,0.0,-,,122227.0,853422.1,0.0,0.0,0.0,0.0
2010,AP,Não-Metálicos,Caulim,881427.0,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,AP,Metálicos,Ferro,10054504.93,4665114.51,t,Fe,0.0,0.0,0.0,0.0,0.0,0.0
2010,AP,Metálicos,Ouro,7444.41,20.11,kg,Au,0.0,0.0,0.0,0.0,0.0,0.0
2010,AP,Não-Metálicos,Rochas (Britadas) e Cascalho,192549.1,0.0,-,,69396.2,1755049.72,0.0,0.0,0.0,0.0
2010,BA,Metálicos,Cromo,1148025.39,193842.28,t,Cr2O3,0.0,0.0,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,Saibro,99983.6,0.0,-,,74466.5,510494.22,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,Sal,667209.64,0.0,-,,0.0,0.0,0.0,0.0,667209.64,21859132.45
2010,BA,Não-Metálicos,Grafita,424955.0,35016.29,t,,0.0,0.0,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,"Geodos, Ágatas, Calcedônia, etc",224.08,224.08,t,,230.08,427560.32,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,Calcário,1586269.03,0.0,-,,9729.0,159691.08,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,Bário,35271.97,31174.27,t,BaSO4,7953.97,954476.4,0.0,0.0,0.0,0.0
2010,BA,Metálicos,Cobre,2196025.6,28665.7,t,Cu,0.0,0.0,0.0,0.0,0.0,0.0
2010,BA,Gemas e Diamantes,Diamante,5856.63,1103.2,ct,,0.0,0.0,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,Rochas Ornamentais,171429.77,0.0,-,,136283.35,34119734.81,0.0,0.0,21313.34,1512073.99
2010,BA,Não-Metálicos,Diatomita,9214.0,0.0,-,,7902.0,1589587.5,0.0,0.0,196.0,149737.57
2010,BA,Não-Metálicos,Rochas Ornamentais - Outras,5681.95,0.0,-,,1964.83,991848.83,0.0,0.0,3148.9,1910231.65
2010,BA,Não-Metálicos,Caulim,72388.0,0.0,-,,35882.0,346881.52,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",2860.0,0.0,-,,2912.0,195424.0,0.0,0.0,0.0,0.0
2010,BA,Metálicos,Manganês,29358.0,10980.8,t,Mn,0.0,0.0,0.0,0.0,21549.53,1942650.7
2010,BA,Não-Metálicos,Talco e outras Cargas Minerais,159566.07,0.0,-,,242.0,62349.0,0.0,0.0,45551.99,15726840.25
2010,BA,Não-Metálicos,Areia,1089726.5,0.0,-,,1058880.25,10362093.11,0.0,0.0,17067.73,201261.69
2010,BA,Não-Metálicos,Areias Industriais,24824.79,0.0,-,,24543.56,2940088.43,0.0,0.0,321.0,120710.0
2010,BA,Não-Metálicos,Argilas,782241.1,0.0,-,,213782.85,1173656.54,58480.0,187663.29,369040.53,1238072.82
2010,BA,Metálicos,Ouro,3274683.0,6399.66,kg,Au,0.0,0.0,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,Rochas (Britadas) e Cascalho,5504399.6,0.0,-,,21219.0,510182.43,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,Dolomito e Magnesita,1423699.0,0.0,-,,53.0,25257.07,0.0,0.0,108553.0,1085955.92
2010,BA,Metálicos,Níquel,3636421.84,19899.0,t, Ni,0.0,0.0,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,Fosfato,582336.35,108909.41,t,P2O5,0.0,0.0,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,Vermiculita e Perlita,1808.0,859.35,t,,0.0,0.0,0.0,0.0,0.0,0.0
2010,CE,Gemas e Diamantes,Gemas,0.0,0.0,kg,,0.0,0.0,0.0,0.0,0.0,0.0
2010,CE,Não-Metálicos,Rochas (Britadas) e Cascalho,3559542.5,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,CE,Metálicos,Manganês,4000.0,1040.0,t,Mn,0.0,0.0,0.0,0.0,0.0,0.0
